Predio/Paraje,ln,lw
Com Santa María De Ocotán Y Xoconoxtle / Candelaria La Ventanilla,23.10583333,-104.5461111
Ejido Chavarria Nuevo / El Arroyo Del Broto,23.66166667,-105.6569444
Ejido El Brillante / Mesa De Venegas,23.77666667,-105.3466667
Villa Insurgentes / San José De Las Corrientes Loma De Los Morillos,23.82138889,-103.8719444
Com Santa Maria De Ocotán Y Xoconoxtle / Las Flores Los Bonitos,22.79222222,-104.3197222
Ejido La Victoria / La Forestal,23.78333333,-105.3772222
Ejido José María Morelos / Coyotes,23.8675,-105.3097222
Com Santa María De Ocotán Y Xoconoxtle / Tepetates Charcos,22.96444444,-104.29
Com Santa María De Ocotán Y Xoconoxtle / Las Ramadas Las Enrramadas,23.02027778,-104.6858333
Ejidlo El Brillante / Mesa De Venegas,23.7775,-105.3425
Com San Bernardino De Milpillas Chico / Maíz Gordo,23.25805556,-104.9113889
Com Santa María De Ocotán Y Xoconoxtle / Tepetates Guajolota,22.96916667,-104.6175
Ejido Las Milpas Y Anexos / El Alto De Dolores,25.55,-106.8
Ejido Los Artículos / Mesa De La Cruz,23.91388889,-105.2016667
Ejido Borbollones / El Carmen,23.77638889,-105.695
Paraíso De La Sierra / Pp San Pedro Lote 1 San Jerónimo De Corral De Piedra,23.85083333,-105.2675
Com Santa María De Ocotán Y Xoconoxtel / Alamito,23.13083333,-104.1866667
Ejido Navajas / Las Minitas,23.8875,-105.1419444
Lote 8 Venustiano Carranza,23.48861111,-104.7344444
Ejido El Brillante / Mesa Del Aterrizaje,23.76194444,-105.3652778
Ejido San Diego De Tenzaenz / Acatita,24.86361111,-106.1108333
Com Santa María De Otáez,24.69222222,-105.97
Ejido San Isidro,23.65722222,-105.035
Com Santiago Teneraca / Platanitos,23.15472222,-104.5966667
Com Santa María De Ocotán Y Xoconoxtle / Pico De Águila,22.845,-104.4972222
Ejido Unidos Venceremos Bajío Largo,24.0375,-105.4513889
Las Margaritas /pp Don Ismael,23.26388889,-104.2872222
Ejido La Victoria Y Anexos / Tatalucas,23.77027778,-105.3944444
Com Santa María De Ocotán Y Xoconoxtle / El Ratón,22.70694444,-104.5227778
Com San Antonio De Padua / Agua Zarca Pinos Secos,22.59138889,-104.5322222
Com Rodeo / Los Carrizos Matavacas,24.965,-106.7702778
Ejido Duraznito Y Picachos,23.80138889,-105.7077778
Com San Francisco De Ocotán / Carrizo Botija,22.75583333,-104.8088889
El Tablón,25.10388889,-106.56
Com San Francisco De Ocotán / Arroyo Hondo,22.88638889,-104.7652778
Com Santa María De Ocotán Y Xoconoxtle / Pinole Quemado,22.97222222,-104.3744444
Com Santa María De Ocotán Y Xoconoxtle / Macho Parado,22.78305556,-104.5641667
Ejido Las Milpas Y Anexos / Quebrada De Los Carricitos,25.5575,-106.8116667
Com San José De La Boca / Buenos Aires,25.25861111,-105.8527778
Pp Joya De Laureles / Montoros,24.97083333,-106.225
Comunidad Santa María De Ocotán Y Xoconoxtle / Bajio De Las Milpas De Guajolota,23.00555556,-104.6244444
Com San Bernardino De Milpillas Chico / Las Joyas Agua María Chiqueros,23.31138889,-105.2388889
Com San Santa María De Ocotán Y Xoconoxtle / El Pinito,22.83138889,-104.4844444
Com Santa María De Ocotán Y Xoconoxtle / El Chapulín,22.98305556,-104.5011111
Ejido Chavarría Viejo / Las Chivas,23.68416667,-105.5155556
Com Santa María De Ocotán Y Xoconoxtle / Cordón De Buenavista,23.01194444,-104.6219444
Com Santa María De Ocotán Y Xoconoxtle / Mezteños,22.96833333,-104.4305556
Ejido La Florida Y Ejido Laguna Del Progreso,24.05361111,-105.5755556
Com Santa María De Ocotán Y Xoconoxtle / Laras De Muruata,22.74,-104.4769444
Com San Francisco / Torance,25.235,-106.5030556
Ejido Los Cardos Y Anexos / La Soledad Mesas Polvosas,24.61888889,-105.87
Com Santa María De Ocotan Y Xoconoxtle / Las Cabezas,22.81972222,-104.3547222
El Soldado,23.92694444,-104.9480556
Rio Chico,23.92833333,-104.8541667
Ejido Banderas Del Águila / La Mesa Del Rincón,23.92888889,-105.3572222
Ejido El Padre Y Anexos,26.06277778,-106.3922222
Com Santa María De Ocotán Y Xoconoxtle / Canoas Tepetates,22.51111111,-104.3513889
Com San Francisco De Ocotán / La Mesa,22.87916667,-104.7475
Ejido Arroyo De Las Piedras Cueva Prieta Y Anexos,25.99916667,-106.4136111
Com Santa Maria De Ocotán Y Xocooxtle / La Ventana La Quebrada,22.89,-104.395
Com Santa María De Ocotán Y Xoconoxtle / Mesa De Pajaritos,22.65416667,-104.2863889
Com Santa Maria De Ocotán Y Xoconoxtle / Arroyo De Las Papas Papas,23.03305556,-104.7677778
Canelas,25.12666667,-106.5616667
Ejido Pueblo Nuevo / Pino Gordo,23.5575,-105.7275
Rancho El Durangueño,24.40194444,-104.9011111
Com Santa María De Ocotán Y Xoconoxtle / Los Barbechos,23.02277778,-104.7641667
Com Jalas Y Anexos / Potrero De Jalas,24.89694444,-106.9019444
Com Santa María De Ocotán Y Xoconoxtle / Llano Grande,22.97638889,-104.6463889
Com El Metate,24.99888889,-106.3269444
Com San Bernardino De Milpillas Chico,23.28611111,-105.1794444
Ejido San Luis Villa Corona,24.12277778,-105.6233333
Ejido Salsipuedes / Las Trancas,25.21805556,-106.5811111
Ejido Banderas Del Águila / El Cañon,23.92694444,-105.3583333
Com Santa María De Ocotan Y Xoconoxtle / Zancudos,23.02111111,-104.7736111
Gavilancillo,22.99388889,-104.4280556
Com Santa María De Ocotán Y Xoconoxtle / Llano De Jacalitos,23.05166667,-104.8386111
Com San Bernardino De Milpillas Chico / Corralitos,23.27638889,-105.1730556
Vascogil,25.1525,-106.3247222
Ejido Pueblo Nuevo / Cofradia,23.29305556,-105.4163889
Com San Buenaventura / Los Alacranes,22.65805556,-104.9
Com San Pedro De Xicora / Avispar,22.60805556,-104.6638889
Ejido Estación Otinapa Y San Carlos,24.07,-105.0069444
Com Santa María De Ocotán Y Xoconoxtle / Barbechos Leña Juntada,23.02361111,-104.7563889
Com Santa María De Ocotán Y Xoconoxtle / Tierra Colorada,23.01361111,-104.6197222
Ejido Pueblo Nuevo / Presa Zapote De Pueblo Nuevo,23.32416667,-105.3380556
El Zape Chico,25.82888889,-105.8047222
Ejido José María Morelos Y Pavón / Los Zorrillos,24.1225,-104.7119444
Ejido Todos Santos Y Anexos / El Jaquital,25.49138889,-106.9383333
Ejido Las Milpas Y Anexos / Carricitos,25.5725,-106.8308333
Com Santa María De Ocotán Y Xoconoxtle / Manzanillo,22.91027778,-104.6558333
Com Santa María De Ocotán Y Xoconoxtle /  Llano Grande Los Jabones,22.75583333,-104.4902778
Ejido El Brillante / Mil Ocho,23.79944444,-105.3619444
Com  Coacoyole / Amaculi,24.51944444,-106.5419444
Com San Antonio De La Cueva,24.74583333,-106.63
Com Santa María De Ocotán Y Xoconoxtle / La Noria Los Tomates,22.765,-104.575
Com Jalas Y Anexos / Cerro De Las Antenas Coloma,24.94583333,-106.9466667
Ejido Tamazula / Coyotes Atras De La Guardia Nacional,24.94444444,-106.9802778
Pp Acahuane,24.99638889,-106.9583333
Com Manzanillas Y Anexos,24.93972222,-106.3361111
Com Santa Ana / Los Laureles,25.40916667,-106.9594444
Com Santa Maria De Ocotán Y Xoconoxtle / Alamo El Patio Mayor,22.90888889,-104.7433333
Com Santa Maria De Ocotán Y Xoconoxtle / Candelaria Las Arenas,22.79333333,-104.6097222
San Antonio De Las Truchas / Campamento,24.37138889,-105.9555556
Com Santa María De Ocotan Y Xoconoxtle / Los Lobos La Manzanilla,23.02388889,-104.5911111
Cordón De Cofradias,23.26888889,-105.3458333
Com San Francisco De Ocotán / Erramada,22.66,-104.8011111
Com Santa María De Ocotán Y Xoconoxtle / Chapulín Crucero,23,-104.5408333
Ejido Osos Brabos Y Anexos / Cebadilla,25.45361111,-106.9830556
Com Santa María De Ocotán Y Xoconoxtle / Puerto Blanco,23.06861111,-104.2047222
Com San Francisco De Lajas / La Ventana,23.16083333,-105.0172222
Com Santiago Teneraca / Los Osos,23.17333333,-104.9463889
Ejido Pueblo Nuevo / Jocuixtle,23.17416667,-105.2808333
Mesa De San Francisco,24.89388889,-106.5608333
Ejido San Diego De Tenzaenz,24.9475,-106.2058333
Com Santa María De Ocotán Y Xoconoxtle / Candelaria Las Vacas,23.02333333,-104.6130556
Com Tabahueto / Pinosa,25.19777778,-107.1297222
Com Santiago Teneraca / Cofradias De Mezquital,22.98,-104.8022222
Com San Bernardino De Milpillas Chico / Curachas,23.265,-105.2427778
Com Santa María De Ocotán Y Xoconoxtle / Piedra Parada,22.85555556,-104.4905556
Com Manzanillas Y Anexos,24.95861111,-106.3041667
Com San Antonio De Padua,22.595,-104.4375
Com Santa María De Ocotán Y Xoconoxtle / Pata De Gallo,22.96416667,-104.6686111
Com Santa María De Ocotán Y Xoconoxtle / Llano Grande La Cruz,22.86277778,-104.4986111
La Cumbres Paraíso De La Sierra Km 82 De Dgo Mzn,23.84638889,-105.2702778
Com Santa María De Ocotán Y Xoconoxtle / Mesa De Las Joyas,23.06944444,-104.5852778
Boca Del Potrero Y Los Charcos,24.60694444,-105.6011111
Ejido Pueblo Nuevo / Los Ángeles De Arriba,23.55694444,-105.5313889
Ejido Pueblo Nuevo / Tascatito,23.48722222,-105.3594444
El Cortador El Salitre El Rebentón,23.41361111,-104.3752778
Com Santa María De Ocotán Y Xoconoxtle / Cerro De Las Papas,23.04305556,-104.6633333
Ncpe Las Playas,24.11277778,-104.8352778
Com Santa María De Ocotán Y Xoconoxtle / Alamo,23.00083333,-104.3491667
Com Santa María De Ocotán Y Xoconoxtle / El Vivero,22.83138889,-104.4694444
Ejido Nuevo Ideal,24.87111111,-105.2005556
Com Santa María De Ocotán Y Xoconoxtle / Cerro Picudo Laguna Del Burro,22.79333333,-104.4705556
Ejido Pueblo Nuevo / La Puerta,23.33305556,-105.38
Ejido California,24.275,-106.0477778
Ejido San Juan De Aguinaldos Ncpe / Santa Gertrudis,23.835,-105.02
Com Santa María De Ocotán Y Xoconoxtle / Toro Acostado,22.90361111,-104.5088889
Ejido Cienega De Quelites / Arroyo Julpo,25.81833333,-105.6472222
Com Santa María De Ocotán Y Xoconoxtle / Aguilillal Las Campanas,22.91805556,-104.6355556
Com Santa María De Ocotán Y Xoconoxtle / Agua Zarca Los Capullos,22.84555556,-104.5902778
Ejido San José Del Barranco / El Ranchito Badiraguato,25.54972222,-107.1033333
Ejido José María Morelos Y Pavon / Paraíso De La Sierra Las Torres,23.84194444,-105.2783333
Ejido Topia / La Ojeda,25.17888889,-106.5738889
Com San Francisco De Lajas,23.17194444,-105.0138889
Ejido El Padre Y Anexos / Puerto Del Toro Y Guitarras,26.03222222,-106.4369444
Com Santa María De Ocotán Y Xoconoxtle / Agua Verde,22.73,-104.62
Com Santa Maria De Ocotán Y Xoconoxtle / Tierras Coloradas,22.83861111,-104.5138889
Ejido Cerro Prieto / El Varal,24.16388889,-105.3322222
Com Lobos Y Pescaderos,25.24805556,-105.8897222
Pp En Llano Grande,23.88083333,-105.22
Com Santa María De Ocotán Y Xoconoxtle / Tres Cruces,23.00416667,-104.5647222
Com Santa María De Ocotán Y Xoconoxtle / Las Cabezas,22.79333333,-104.5461111
Ejido La Victoria / Las Fabricas,23.78055556,-105.3769444
Com Santa María De Ocotán Y Xoconoxtle / Macho Parado 2,22.78638889,-104.5530556
Ejido Pueblo Nuevo / Tunel El Papayito Iiii,23.58638889,-105.7269444
Ejido Los Bancos / San Cayetano Lado De Chavarría,23.65416667,-105.7105556
Ejido Las Milpas Y Anexos / Rancho Nuevo El Terreno,25.5225,-106.6844444
Com Santa María De Ocotán Y Xoconoxtle / Las Campanas,23.03055556,-104.6294444
Ejido California Y Anexos / San Ignacio,24.27555556,-106.0688889
Com Santa María De Ocotán Y Xoconoxtle / Cerro De Las Papas Cordón De Buenavista,23.03611111,-104.6030556
Ejido Las Milpas Y Anexos / Carricitos,25.55333333,-106.8141667
Com Santa María De Ocotán Y Xoconoxtle / La Mesilla,22.88,-104.6808333
Com Santiago Bayacora / Puerto De Las Chuchas Mesa De Los Caballos Mesa Del Rosillo,23.64694444,-104.6852778
Com Santa María De Ocotán Y Xoconoxtle / El Arpa,22.88194444,-104.5669444
Com Santa María De Ocotán Y Xoconoxte / Agüita Zarca Cerro Colorado,23.13361111,-104.4725
Com Santa María De Ocotán Y Xoconoxtle / El Chapulin Dos Puentes,22.95861111,-104.5061111
Com Santa María De Ocotán Y Xoconoxtle / El Zorro,22.92638889,-104.5244444
Com La Huerta Y Anexo San Rafael,25.31694444,-106.615
Ejido Las Milpas Y Anexos / Las Joyitas La Vinata,25.44083333,-106.8122222
Paraiso De La Cierra / Cabañas Paraiso De La Sierra,23.85166667,-105.2825
Com San Ignacio / Zapiguri Uno Mesa De Chano,25.46972222,-106.0380556
Com Bagres,25.48694444,-106.0036111
Com Santa María De Ocotan Y Xoconoxtle / El Boliche,22.89258333,-104.6458333
Com Santa María De Ocotán Y Xoconoxtle / Los Alamos,22.94055556,-104.6836111
Com Santa María De Ocotán Y Xoconoxtle / Alamitos,23.04805556,-104.2158333
Ncpe Bajio De Don Victor / El Volante San Jerónimo Arroyo Del Gato Arroyo De La Piedra Pp Vitomex,23.57694444,-104.79
Com Santa María Magdalena Taxicaringa,23.18777778,-104.85
Com Santa María De Ocotán Y Xoconoxtle / Saucito,23.16138889,-104.3686111
Com Santa María De Ocotán Y Xoconoxtle / Amole,22.98111111,-104.6322222
Com Zapiguri / Dos La Tijera Alta,25.38305556,-106.0094444
Hacienda Coyotes / El Bajio,23.81333333,-105.315
Com Tarahumar Y Bajios Del Tarahumar,25.67138889,-106.2408333
Ejido Estación Otinapa Y San Carlos,23.97972222,-104.9508333
Com Santa María De Ocotán Y Xoconoxtle / Pinos Altos El Vivero Mesa De Las Milpas,22.77083333,-104.5230556
Ejido Pueblo Nuevo / La Tablita Arroyo De Los Alisos Rancho Quemado,23.61722222,-105.4616667
Com Santa María De Ocotán Y Xoconoxtle / Los Tambores,22.94611111,-104.6216667
Ejido Llano Grande Y Ejido Navajas,23.87138889,-105.1508333
Com Santa María De Ocotán Y Xoconoxtle / Minitas,22.78305556,-104.5808333
Ejido Pueblo Nuevo / Las Calaveras Los Letreros,23.11833333,-105.4077778
Ejido El Regocijo / El Tránsito,23.68722222,-105.1683333
Com Santiago Teneraca / Puerto Blanco Puerto De Milpas,23.06055556,-104.6916667
Cienega De Nuestra Señora De Guadalupe Mesteñas,25.06083333,-106.3930556
Ejido Todos Santos / La Joya,25.43166667,-106.9094444
Com Santiago De Bosos / Santa Rosa,24.62833333,-106.0125
Com Santa María De Ocotán Y Xoconoxtle / Llano Delgado,22.835,-104.3633333
Com Santa María De Ocotán Y Xoconoxtle / Las Cabezas,22.81833333,-104.3652778
Com Santa María De Ocotán Y Xoconoxtle / Mesa De La Cruz,22.92444444,-104.7533333
Pp Rancho La Colorada / La Esperanza Las Loberas,24.13611111,-105.175
Com San Buenaventura,22.6925,-105.0302778
Ejido Llano Grande / La Leonita,23.86972222,-105.1638889
Com San Bernardino De Milpillas Chico,23.34944444,-105.1427778
Ejidlo El Brillante / Mesa De Venegas 2,23.77944444,-105.3433333
Ejidlo El Brillante / Mesa De Venegas 3,23.77638889,-105.3419444
Com Bagres Y Anexos / Mesa Del Remudadero,25.8325,-106.1711111
Ejido Pueblo Nuevo / Calavera Dos,23.19055556,-105.3580556
Ejido Pueblo Nuevo / Arroyo Verde Cordón Roto De Los Angeles,23.52361111,-105.5244444
Com Santa María De Ocotán Y Xoconoxtle / Los Capullos,22.8625,-104.6036111
Com Santa María De Ocotán Y Xoconoxtle / Mezteños,22.66833333,-104.4583333
Com Yesqueros Y Com El Tarahumar Y Bajios Del Tarahumar / Arroyo De Los Desechos,25.5775,-106.3969444
Los Fresnos,24.59166667,-105.7475
Com Santa María De Ocotán Y Xoconoxtle / Agüita Zarca Macho Parado,23.15416667,-104.4280556
Com San Bernardino De Milpillas Chico,23.435,-105.105
Ejido Veracruz De La Sierra / Unión Modelo Arroyo Del Sucillal,24.54388889,-105.4997222
Com Santa María De Ocotán Y Xoconoxtle / Los Frijoles,23.00722222,-104.6711111
Com Santa María De Ocotán Y Xoconoxtle / La Bolasa,22.86083333,-104.5038889
Ejido Pueblo Nuevo / Mesa Alta,23.47305556,-105.48
Ejido Ciénega De Los Caballos / Santo Niño,23.7925,-105.0166667
Ejido Laguna De La Chaparra,25.03222222,-105.6975
Ejido Pueblo Nuevo / Cofradías,23.3,-105.385
Com Chacala Y Com Guayabo / Palos Verdes,24.83805556,-106.8519444
Ejido Puentecillas / Cruz Verde,24.29,-105.9788889
Ejido El Gallo Y Anexos / Puerto Colorado,24.65583333,-105.7519444
Pp La Joya,25.11972222,-106.2358333
Ejido Los Bancos / La Ermita,23.67305556,-105.7191667
Ejido Osos Brabos / El Mapache,25.39083333,-106.9108333
Ejido Los Gavilanes / Los Estanques,24.26694444,-105.7444444
Com Lobos Y Pescaderos Y Ejido Potrero De Chaidez / Mesa De Navar Y Tetillas,25.20888889,-105.8588889
Com Barajas / Lado De Las Escobas,25.40694444,-106.26
Ejido Marquezotes,24.3375,-105.2944444
Ejido Quebrada De Cebollas / Campo Santo El Bonete,24.89,-105.8469444
Com Santa María De Ocotán Y Xoconoxtle / Arroyo Ondo,22.99972222,-104.5986111
Com San Bernardino De Milpillas Chico / El Güero,23.32,-104.87
Ejido Carboneras / Jacales,24.22611111,-105.9691667
Com Santa Maria Magdalena Taxicaringa,23.30805556,-104.815
Ejido El Brillante Y Ejido Pueblo Nuevo / Piedra Del León Y Cerro De La Vivoras,23.63083333,-105.4911111
Ejido Valle De Topia,25.20583333,-106.3658333
Pp Emiliano Martínez Torres / El Promontorio,25.25666667,-105.1152778
Com Barajas,25.23388889,-106.1511111
Pp Sierra Del Nayar / Mesa De Las Tres Lagunas,23.60833333,-104.9619444
Pp Cuevecillas Y Culebras / Mesa De Mujeres,23.51,-104.8919444
Com San Bernardino De Milpillas Chico / San Miguel Corre Caballo,23.44638889,-104.9641667
Ejido La Victoria / El Alamo,23.705,-105.4058333
Ejido Silvestre Revueltas,25.03638889,-105.6083333
Com Santa Maria De Ocotán Y Xoconoxtle / Guajolota Ameca Magueyes,22.92083333,-104.4544444
Ejido El Refugio Y Anexos / Torrecillas Ojo De Ángel Valparaíso,22.42805556,-104.3230556
